Feature,Stability_Count,Mean_Rank_or_Score,Stability_Rank,Internal_Rank,Global_Score
Total_duration_of_Visit_max_medical_original,1.0,2.7955049781915897,420.5,280.0,700.5
Minimum_duration_of_whole_fixations_mean_content,23.0,1.6730549360839004,239.0,465.0,704.0
Average_duration_of_whole_fixations_max_content,21.25,1.6400566287354474,246.0,475.0,721.0
total_word_count_screen_max_non_medical,26.75,1.5283905115733676,218.0,507.5,725.5
Sentence_id_current_min_medical,13.5,1.7716686674669861,290.0,438.0,728.0
word_frequency_screen_min_non_medical,23.8,1.5809531309328078,237.0,492.0,729.0
Time_to_first_whole_fixation_std_non_medical,26.5,1.5233506658180562,219.5,510.0,729.5
word_id_screen_max_non_medical,26.0,1.5283905115733676,224.0,507.5,731.5
Average_whole-fixation_pupil_diameter_max_content,20.75,1.6163472675556512,249.5,485.0,734.5
word_id_text_min_medical,12.5,1.771668667466986,296.5,440.0,736.5
Average_duration_of_fixations_max_medical,12.5,1.7657368809563923,296.5,442.0,738.5
word_frequency_screen_min_content,20.75,1.5809531309328078,249.5,492.0,741.5
Average_whole-fixation_pupil_diameter_min_content,14.2,1.726681647320479,288.0,454.0,742.0
Average_duration_of_fixations_std_content,18.5,1.616637912621482,259.0,484.0,743.0
tag.id_mean_clinical_original,1.0,2.3735483675037106,420.5,329.0,749.5
Number_of_Visits_max_medical_original,1.0,2.353193189332602,420.5,334.0,754.5
Time_to_first_fixation_max_medical,29.0,1.4021984880030756,207.0,548.0,755.0
Number_of_saccades_in_AOI_std_content,18.25,1.5646564701228107,261.0,500.0,761.0
Time_to_first_fixation_max_non_medical,24.75,1.453569635775632,229.0,532.0,761.0
Minimum_duration_of_fixations_mean_content,16.5,1.5697536491494881,268.5,497.0,765.5
Peak_velocity_of_exit_saccade_min_content,16.25,1.5520302931714218,271.0,502.0,773.0
Number_of_saccades_in_AOI_mean_content,29.0,1.3555091979784473,207.0,568.0,775.0
Average_duration_of_whole_fixations_max_medical,11.25,1.6441399309821094,304.0,473.0,777.0
total_word_count_screen_max_content,16.0,1.5283905115733676,275.0,507.5,782.5
Average_pupil_diameter_min_non_medical,18.25,1.444115210957097,261.0,534.0,795.0
Minimum_duration_of_fixations_min_medical,10.5,1.6034761482058566,308.0,488.0,796.0
Time_to_first_whole_fixation_max_medical,22.0,1.374887785144804,243.0,554.0,797.0
Time_to_first_fixation_std_content,15.0,1.520344335018604,286.0,513.0,799.0
Total_duration_of_fixations_max_non_medical,18.0,1.420041263776224,263.0,539.0,802.0
Duration_of_first_whole_fixation_std_non_medical,19.5,1.4026320518503783,255.0,547.0,802.0
word_frequency_screen_min_medical,10.25,1.5809531309328078,311.0,492.0,803.0
Total_duration_of_whole_fixations_max_non_medical,17.4,1.4118923718010916,264.0,543.0,807.0
Average_whole-fixation_pupil_diameter_min_non_medical,15.6,1.465437844713679,280.5,529.0,809.5
Time_to_first_whole_fixation_mean_non_medical,16.75,1.4018700240914723,267.0,549.0,816.0
Number_of_saccades_in_AOI_mean_medical,10.75,1.5178660151906904,306.0,515.0,821.0
word_id_screen_max_content,13.25,1.4524798536806396,291.5,533.0,824.5
Total_duration_of_whole_fixations_std_medical,10.75,1.5025277589771109,306.0,519.0,825.0
Total_duration_of_whole_fixations_mean_medical,16.0,1.374699595057827,275.0,555.0,830.0
Time_to_first_fixation_mean_non_medical,15.5,1.383551723069981,282.0,553.0,835.0
Number_of_saccades_in_AOI_std_medical,10.25,1.4850283134494442,311.0,525.0,836.0
Total_duration_of_whole_fixations_mean_content,12.0,1.4185052311101407,299.5,540.0,839.5
total_word_count_screen_max_medical,7.75,1.5283905115733676,335.0,507.5,842.5
Total_duration_of_fixations_std_medical,9.5,1.4682012999226304,318.0,527.0,845.0
Total_duration_of_whole_fixations_std_content,9.0,1.490719987957949,323.5,522.0,845.5
Time_to_exit_saccade_std_non_medical,15.25,1.3625210067687714,285.0,563.0,848.0
Time_to_first_whole_fixation_std_content,10.75,1.408505839975318,306.0,545.0,851.0
Total_duration_of_fixations_mean_content,10.25,1.407817591182677,311.0,546.0,857.0
Total_duration_of_fixations_std_content,8.2,1.4581309888961074,330.0,531.0,861.0
Time_to_entry_saccade_std_non_medical,13.25,1.3374732525277986,291.5,573.0,864.5
Total_duration_of_fixations_mean_non_medical,22.0,1.1366540496254596,243.0,623.0,866.0
Time_to_first_whole_fixation_max_content,8.5,1.4203810737981115,329.0,538.0,867.0
Maximum_duration_of_Visit_min_non_medical,14.0,1.3056459910479312,289.0,583.0,872.0
Total_duration_of_whole_fixations_mean_non_medical,20.0,1.130629801087054,252.0,625.0,877.0
Maximum_duration_of_fixations_min_content,9.25,1.3666031328557608,319.5,559.0,878.5
Duration_of_first_fixation_std_non_medical,12.75,1.2922307276193092,294.0,588.0,882.0
Time_to_first_whole_fixation_max_non_medical,12.25,1.2863475658881385,298.0,589.0,887.0
Average_duration_of_fixations_min_content,13.0,1.2210330900357924,293.0,601.0,894.0
Total_duration_of_fixations_mean_medical,9.0,1.3455389330428518,323.5,571.0,894.5
Time_to_first_fixation_mean_content,6.75,1.3673659680909387,342.5,558.0,900.5
Time_to_first_whole_fixation_mean_content,6.75,1.361175382818186,342.5,565.0,907.5
Minimum_duration_of_whole_fixations_max_content,7.25,1.3532954063507827,338.5,569.0,907.5
Regression-path_duration_mean_non_medical,9.25,1.1935205358438257,319.5,605.0,924.5
Maximum_duration_of_Visit_min_medical,5.25,1.328970879446871,354.5,576.0,930.5
Time_to_entry_saccade_max_medical,8.0,1.2481550968297177,332.5,598.0,930.5
Time_to_entry_saccade_std_content,8.0,1.2273338037872883,332.5,600.0,932.5
Time_to_entry_saccade_max_non_medical,8.75,1.1880969719901906,327.5,607.0,934.5
Time_to_exit_saccade_std_content,5.0,1.3135328773744064,356.5,579.0,935.5
Time_to_first_whole_fixation_mean_medical,4.0,1.3072806656974476,361.5,582.0,943.5
Minimum_duration_of_whole_fixations_std_content,10.0,1.1034426809105105,315.0,632.0,947.0
Time_to_first_fixation_mean_medical,3.75,1.3041388444112385,364.0,584.0,948.0
Average_duration_of_Visit_min_non_medical,8.75,1.1300352762892174,327.5,626.0,953.5
Time_to_entry_saccade_mean_non_medical,10.0,1.0795866784473005,315.0,639.0,954.0
total_lemma_count_text_min_content,10.0,1.065389537848261,315.0,644.0,959.0
Minimum_duration_of_fixations_std_content,9.0,1.086779319490961,323.5,637.0,960.5
Minimum_duration_of_whole_fixations_mean_non_medical,7.5,1.1252402754811597,336.5,627.0,963.5
Minimum_duration_of_Visit_min_content,6.5,1.1396571260859127,344.5,619.0,963.5
Time_to_exit_saccade_mean_non_medical,6.0,1.152942420673157,348.5,617.0,965.5
Average_duration_of_whole_fixations_std_non_medical,7.25,1.1217522471301282,338.5,628.0,966.5
total_lemma_count_text_min_medical,9.0,1.065389537848261,323.5,644.0,967.5
tag.id_min_non_medical,7.0,1.1123840083822163,340.0,630.0,970.0
total_lemma_count_screen_max_non_medical,7.5,1.09766323311532,336.5,635.0,971.5
Number_of_Visits_std_medical,3.0,1.168232302304927,370.0,612.0,982.0
Peak_velocity_of_entry_saccade_min_content,2.6666666666666665,1.192707862199541,377.0,606.0,983.0
total_lemma_count_screen_max_medical,6.0,1.09766323311532,348.5,635.0,983.5
total_lemma_count_text_min_non_medical,6.5,1.065389537848261,344.5,644.0,988.5
Number_of_saccades_in_AOI_max_content,2.75,1.1395078037936406,376.0,620.0,996.0
total_lemma_count_screen_max_content,4.0,1.09766323311532,361.5,635.0,996.5
Minimum_duration_of_fixations_mean_non_medical,4.75,1.0629869750293526,359.0,646.0,1005.0
Time_to_exit_saccade_max_non_medical,6.0,0.9870407573357888,348.5,658.0,1006.5
Time_to_exit_saccade_mean_content,2.0,1.12001201424999,385.0,629.0,1014.0
Time_to_entry_saccade_mean_content,2.0,1.099154487032488,385.0,633.0,1018.0
Average_duration_of_fixations_std_non_medical,2.25,0.998316395116911,379.0,656.0,1035.0
Time_to_entry_saccade_max_content,3.0,0.8776842092646276,370.0,670.0,1040.0
Average_duration_of_Visit_min_content,1.75,0.9989929276933732,391.5,654.0,1045.5
Time_to_exit_saccade_mean_medical,1.0,1.105235683145342,420.5,631.0,1051.5
total_word_count_text_min_non_medical,6.0,0.763018212275383,348.5,703.0,1051.5
AOI_length_min_content,3.0,0.8130408754827306,370.0,686.0,1056.0
word_count_screen_max_content,3.0,0.8130408754827291,370.0,687.0,1057.0
Minimum_duration_of_whole_fixations_min_content,2.0,0.8695084229981579,385.0,673.0,1058.0
id.phrase.in.brackets_min_non_medical,1.5,0.8876527591749805,393.0,667.0,1060.0
Time_to_entry_saccade_mean_medical,1.0,1.0695220774818506,420.5,641.0,1061.5
Time_to_first_fixation_std_medical,1.0,1.054691971661982,420.5,647.0,1067.5
Time_to_first_whole_fixation_std_medical,1.0,1.0089589195778297,420.5,652.0,1072.5
Maximum_duration_of_fixations_min_non_medical,1.75,0.8132527645423409,391.5,685.0,1076.5
Regression-path_duration_mean_content,1.0,0.941906177253078,420.5,663.0,1083.5
Maximum_duration_of_Visit_min_content,1.0,0.9039019772030842,420.5,666.0,1086.5
total_word_count_text_min_medical,2.0,0.763018212275383,385.0,703.0,1088.0
Regression-path_duration_std_non_medical,1.25,0.7627268882395404,396.5,705.0,1101.5
Duration_of_first_whole_fixation_max_content,1.25,0.7159845690123082,396.5,712.0,1108.5
total_word_count_screen_min_non_medical,3.0,0.6107260045504839,370.0,743.0,1113.0
total_word_count_screen_min_content,3.0,0.6107260045504839,370.0,743.0,1113.0
Minimum_duration_of_whole_fixations_min_medical,1.0,0.7833334969265622,420.5,693.0,1113.5
Number_of_saccades_in_AOI_max_medical,1.0,0.7637420835304851,420.5,700.0,1120.5
total_word_count_screen_min_medical,2.0,0.6107260045504839,385.0,743.0,1128.0
Duration_of_first_whole_fixation_max_non_medical,1.25,0.6460563924294547,396.5,732.5,1129.0
Duration_of_first_fixation_max_non_medical,1.25,0.6460563924294547,396.5,732.5,1129.0
Time_to_first_whole_fixation_min_non_medical,3.0,0.5382402788636368,370.0,767.0,1137.0
Average_duration_of_fixations_min_non_medical,1.0,0.6107435475231674,420.5,741.0,1161.5
Minimum_duration_of_whole_fixations_std_non_medical,1.0,0.5749101439068546,420.5,752.0,1172.5
word_count_text_std_non_medical,1.0,0.45946793955541415,420.5,787.0,1207.5
Maximum_duration_of_whole_fixations_min_non_medical,2.0,0.3708659902478881,385.0,827.0,1212.0
Number_of_Visits_mean_non_medical,2.0,0.3414353742058315,385.0,838.0,1223.0
Duration_of_first_fixation_max_content,1.0,0.3431107775137985,420.5,837.0,1257.5
Duration_of_first_whole_fixation_min_non_medical,1.0,0.3003450427746809,420.5,866.0,1286.5
Regression-path_duration_max_non_medical,1.0,0.286794932783041,420.5,873.0,1293.5
First-pass_regression_std_clinical_simple,1.0,0.2697446838341687,420.5,879.0,1299.5
total_word_count_screen_std_content,1.0,0.2321291548087939,420.5,901.0,1321.5
Time_to_entry_saccade_min_medical,1.0,0.2101855959290435,420.5,923.0,1343.5
left_dependents_std_non_medical,1.0,0.1624076959307369,420.5,985.0,1405.5
total_word_count_screen_std_non_medical,1.0,0.1423225422254392,420.5,1006.0,1426.5
total_lemma_count_screen_std_content,1.0,0.1403502348277447,420.5,1007.0,1427.5
word_frequency_text_std_content,1.0,0.1044722016624871,420.5,1046.0,1466.5
AOI_length_max_clinical_original,,0.0311318472121539,,1220.0,
AOI_length_max_clinical_simple,,1.2947295018501208,,587.0,
AOI_length_max_content,,0.37789710504534085,,825.0,
AOI_length_max_medical,,0.0314986170370766,,1218.0,
AOI_length_max_medical_original,,0.109397082731726,,1041.0,
AOI_length_max_medical_simple,,0.3597530091476295,,831.0,
AOI_length_max_non_medical,,0.057812135558475995,,1126.0,
AOI_length_mean_clinical_original,,0.0323962297042381,,1213.0,
AOI_length_mean_clinical_simple,,2.102489819799996,,370.0,
AOI_length_mean_content,,0.0303995186446619,,1222.0,
AOI_length_mean_medical,,0.072408351407615,,1103.0,
AOI_length_mean_medical_original,,0.5289825387506152,,770.0,
AOI_length_mean_medical_simple,,1.801824352081223,,415.0,
AOI_length_mean_non_medical,,0.4438240931777738,,793.0,
AOI_length_min_clinical_original,,0.1550858290440896,,992.0,
AOI_length_std_clinical_original,,0.0304265631516259,,1221.0,
AOI_length_std_clinical_simple,,2.0988670339853432,,371.0,
AOI_length_std_content,,0.4075865414591519,,810.0,
AOI_length_std_medical,,0.1651103284728043,,975.0,
AOI_length_std_medical_original,,0.4327137960967595,,798.0,
AOI_length_std_medical_simple,,1.9975452344669535,,389.0,
AOI_length_std_non_medical,,0.0947075964845286,,1070.0,
Average_duration_of_Visit_min_clinical_original,,1.3076781579811896,,580.5,
Average_duration_of_Visit_min_medical_original,,2.2501188125270857,,348.0,
Average_duration_of_Visit_min_medical_simple,,0.1101453074882113,,1038.0,
Average_duration_of_fixations_max_clinical_original,,0.0729462035882703,,1102.0,
Average_duration_of_fixations_max_clinical_simple,,0.3147322908516101,,853.0,
Average_duration_of_fixations_max_medical_original,,3.1907029936844395,,255.0,
Average_duration_of_fixations_max_medical_simple,,2.1421813690386413,,359.5,
Average_duration_of_fixations_mean_clinical_original,,0.2680596464807958,,882.0,
Average_duration_of_fixations_mean_medical_original,,0.0513515548178846,,1140.0,
Average_duration_of_fixations_mean_medical_simple,,2.469726643459261,,318.0,
Average_duration_of_fixations_min_clinical_original,,0.0280154946688251,,1246.0,
Average_duration_of_fixations_min_clinical_simple,,0.6878297282746638,,722.0,
Average_duration_of_fixations_min_medical,,0.1888733749734917,,949.0,
Average_duration_of_fixations_min_medical_original,,0.7195553534727265,,710.0,
Average_duration_of_fixations_min_medical_simple,,0.3179970595928443,,850.0,
Average_duration_of_fixations_std_clinical_original,,0.3689267139159611,,828.0,
Average_duration_of_fixations_std_clinical_simple,,2.610890390464973,,304.0,
Average_duration_of_fixations_std_medical_original,,0.09765277651746139,,1063.0,
Average_duration_of_fixations_std_medical_simple,,2.828142159433704,,277.0,
Average_duration_of_whole_fixations_max_clinical_original,,0.0287372109687931,,1234.0,
Average_duration_of_whole_fixations_max_clinical_simple,,0.4128756970082009,,805.0,
Average_duration_of_whole_fixations_max_medical_original,,3.488526278152756,,235.0,
Average_duration_of_whole_fixations_max_medical_simple,,2.1421813690386413,,359.5,
Average_duration_of_whole_fixations_mean_clinical_original,,0.2883281254489215,,870.0,
Average_duration_of_whole_fixations_mean_medical_original,,0.0588501943408123,,1121.0,
Average_duration_of_whole_fixations_mean_medical_simple,,2.509674754281681,,316.0,
Average_duration_of_whole_fixations_min_clinical_original,,0.233471138445054,,898.0,
Average_duration_of_whole_fixations_min_clinical_simple,,0.4282408666746211,,800.0,
Average_duration_of_whole_fixations_min_content,,0.0502240968325546,,1144.5,
Average_duration_of_whole_fixations_min_medical,,0.1122758268068366,,1037.0,
Average_duration_of_whole_fixations_min_medical_original,,0.2552166940862956,,892.0,
Average_duration_of_whole_fixations_min_medical_simple,,0.7741165172206631,,696.5,
Average_duration_of_whole_fixations_std_clinical_original,,0.5335680083090033,,768.0,
Average_duration_of_whole_fixations_std_clinical_simple,,2.736948138801344,,288.0,
Average_duration_of_whole_fixations_std_medical_original,,0.1441985720901768,,1004.0,
Average_duration_of_whole_fixations_std_medical_simple,,2.874479934716121,,270.0,
Average_pupil_diameter_max_clinical_original,,0.7034934594036619,,718.0,
Average_pupil_diameter_max_clinical_simple,,0.1568012025268473,,991.0,
Average_pupil_diameter_max_medical_original,,2.983640687979421,,263.0,
Average_pupil_diameter_max_medical_simple,,0.43222746124379036,,799.0,
Average_pupil_diameter_max_non_medical,,0.1911809565334384,,945.0,
Average_pupil_diameter_mean_clinical_original,,0.6595762242187173,,731.0,
Average_pupil_diameter_mean_clinical_simple,,0.0435554584277844,,1171.0,
Average_pupil_diameter_mean_medical_original,,2.585215485501463,,309.0,
Average_pupil_diameter_mean_medical_simple,,0.0471681279581152,,1154.0,
Average_pupil_diameter_min_clinical_original,,0.8442514045069811,,681.0,
Average_pupil_diameter_min_clinical_simple,,0.4117490149309025,,808.0,
Average_pupil_diameter_min_medical_original,,2.147124342646085,,357.0,
Average_pupil_diameter_min_medical_simple,,0.0668695712411454,,1109.0,
Average_pupil_diameter_std_clinical_original,,0.0329474583906749,,1210.0,
Average_pupil_diameter_std_clinical_simple,,1.6278987621476906,,480.0,
Average_pupil_diameter_std_content,,0.1782349110251459,,956.0,
Average_pupil_diameter_std_medical,,0.0877017426456836,,1080.0,
Average_pupil_diameter_std_medical_original,,1.393223147131949,,550.0,
Average_pupil_diameter_std_medical_simple,,0.3579980935525681,,832.0,
Average_pupil_diameter_std_non_medical,,0.230351075473849,,904.0,
Average_whole-fixation_eye_openness_min_non_medical,,0.20511966076486382,,927.0,
Average_whole-fixation_pupil_diameter_max_clinical_original,,0.6809468359451368,,723.0,
Average_whole-fixation_pupil_diameter_max_clinical_simple,,0.1902397361995142,,947.0,
Average_whole-fixation_pupil_diameter_max_medical_simple,,0.1283226984921944,,1019.0,
Average_whole-fixation_pupil_diameter_max_non_medical,,0.2014612141305873,,934.0,
Average_whole-fixation_pupil_diameter_mean_clinical_original,,0.6676600009977466,,729.0,
Average_whole-fixation_pupil_diameter_mean_clinical_simple,,0.0434325426463639,,1172.0,
Average_whole-fixation_pupil_diameter_mean_medical_original,,2.591666190248536,,308.0,
Average_whole-fixation_pupil_diameter_mean_medical_simple,,0.04750343452370969,,1152.0,
Average_whole-fixation_pupil_diameter_min_clinical_original,,0.8220984063146898,,684.0,
Average_whole-fixation_pupil_diameter_min_clinical_simple,,0.4042321149896134,,812.0,
Average_whole-fixation_pupil_diameter_min_medical_original,,2.026850720595829,,384.0,
Average_whole-fixation_pupil_diameter_min_medical_simple,,0.0671881311211416,,1108.0,
Average_whole-fixation_pupil_diameter_std_clinical_original,,0.0313215925819817,,1219.0,
Average_whole-fixation_pupil_diameter_std_clinical_simple,,1.6629394255723662,,470.0,
Average_whole-fixation_pupil_diameter_std_content,,0.1608575266075366,,986.0,
Average_whole-fixation_pupil_diameter_std_medical,,0.0821746039521654,,1089.0,
Average_whole-fixation_pupil_diameter_std_medical_original,,1.4605355146516388,,530.0,
Average_whole-fixation_pupil_diameter_std_medical_simple,,0.34431133261353,,836.0,
Average_whole-fixation_pupil_diameter_std_non_medical,,0.2439626412855767,,894.0,
Duration_of_first_Visit_max_clinical_original,,3.537692163615612,,232.0,
Duration_of_first_Visit_min_clinical_original,,1.4173411449149214,,541.0,
Duration_of_first_Visit_min_content,,0.0497248154901184,,1147.0,
Duration_of_first_Visit_min_medical_original,,1.259029642857127,,593.0,
Duration_of_first_Visit_min_medical_simple,,0.4185057474306468,,803.0,
Duration_of_first_Visit_min_non_medical,,0.03221222702552,,1214.0,
Duration_of_first_Visit_std_medical_original,,3.9554042950036377,,201.0,
Duration_of_first_fixation_max_clinical_original,,1.8020791732529935,,414.0,
Duration_of_first_fixation_max_clinical_simple,,1.0779622954270849,,640.0,
Duration_of_first_fixation_max_medical_original,,0.6940991093083778,,721.0,
Duration_of_first_fixation_max_medical_simple,,2.3413501173228832,,335.5,
Duration_of_first_fixation_mean_clinical_original,,0.326276889328648,,846.0,
Duration_of_first_fixation_mean_medical_original,,0.0813651370531634,,1091.0,
Duration_of_first_fixation_mean_medical_simple,,2.3957102776015566,,326.0,
Duration_of_first_fixation_min_clinical_original,,0.1855395066169653,,952.0,
Duration_of_first_fixation_min_clinical_simple,,0.7171581056597344,,711.0,
Duration_of_first_fixation_min_content,,0.4861924743294309,,778.0,
Duration_of_first_fixation_min_medical,,0.4177900207891699,,804.0,
Duration_of_first_fixation_min_medical_original,,0.1314079724262503,,1013.0,
Duration_of_first_fixation_min_medical_simple,,1.5719480212824797,,496.0,
Duration_of_first_fixation_min_non_medical,,0.02382904242117,,1268.0,
Duration_of_first_fixation_std_clinical_original,,1.2854055128340371,,590.0,
Duration_of_first_fixation_std_clinical_simple,,2.7214806182587723,,291.0,
Duration_of_first_fixation_std_medical_original,,0.2175228326006111,,917.0,
Duration_of_first_fixation_std_medical_simple,,3.1500354287205594,,256.0,
Duration_of_first_whole_fixation_max_clinical_original,,1.6341116951013979,,478.0,
Duration_of_first_whole_fixation_max_clinical_simple,,1.7048325251447582,,458.0,
Duration_of_first_whole_fixation_max_medical_original,,0.7000977329481677,,719.0,
Duration_of_first_whole_fixation_max_medical_simple,,2.3413501173228832,,335.5,
Duration_of_first_whole_fixation_mean_clinical_original,,0.329045191019735,,843.0,
Duration_of_first_whole_fixation_mean_medical_original,,0.0901266735826307,,1078.0,
Duration_of_first_whole_fixation_mean_medical_simple,,2.357846812626148,,332.0,
Duration_of_first_whole_fixation_min_clinical_original,,0.26959687572794927,,881.0,
Duration_of_first_whole_fixation_min_clinical_simple,,0.3709811527042223,,826.0,
Duration_of_first_whole_fixation_min_content,,0.0470443231966539,,1155.0,
Duration_of_first_whole_fixation_min_medical,,0.3063607172093555,,861.0,
Duration_of_first_whole_fixation_min_medical_original,,0.2600571932390044,,886.0,
Duration_of_first_whole_fixation_min_medical_simple,,0.9426493219879265,,662.0,
Duration_of_first_whole_fixation_std_clinical_original,,1.4154590793152175,,542.0,
Duration_of_first_whole_fixation_std_clinical_simple,,3.602312621760334,,228.0,
Duration_of_first_whole_fixation_std_medical_original,,0.3037347709286073,,865.0,
Duration_of_first_whole_fixation_std_medical_simple,,3.1907477743171038,,254.0,
First-pass_duration_max_clinical_original,,2.7898642757652534,,282.0,
First-pass_duration_max_medical_simple,,3.0010294816505807,,262.0,
First-pass_duration_mean_clinical_original,,3.2688324722381648,,251.0,
First-pass_duration_mean_medical_original,,1.6682954265256094,,467.0,
First-pass_duration_mean_medical_simple,,2.657743826685751,,301.0,
First-pass_duration_std_clinical_original,,3.5743650430758747,,230.0,
First-pass_duration_std_medical_original,,2.0596278741381053,,381.0,
First-pass_first_fixation_duration_max_clinical_original,,0.546824588402568,,760.0,
First-pass_first_fixation_duration_max_clinical_simple,,0.9457051948507272,,661.0,
First-pass_first_fixation_duration_max_medical_simple,,1.2100386695666812,,604.0,
First-pass_first_fixation_duration_mean_clinical_original,,2.2169142600298453,,350.0,
First-pass_first_fixation_duration_mean_medical_original,,1.431952562784798,,535.0,
First-pass_first_fixation_duration_mean_medical_simple,,2.056359286163232,,382.0,
First-pass_first_fixation_duration_std_clinical_original,,0.5260843040158876,,771.0,
First-pass_first_fixation_duration_std_medical_original,,0.6056150151412395,,746.0,
First-pass_first_fixation_duration_std_medical_simple,,3.198738043724325,,253.0,
First-pass_regression_max_clinical_original,,0.0378282606197154,,1190.0,
First-pass_regression_max_clinical_simple,,1.7716686674669864,,427.5,
First-pass_regression_max_medical_original,,0.5461777485187621,,762.5,
First-pass_regression_max_medical_simple,,1.7716686674669864,,427.5,
First-pass_regression_mean_clinical_original,,1.3661044387089492,,560.0,
First-pass_regression_mean_medical_simple,,0.6774188663404498,,725.0,
First-pass_regression_std_clinical_original,,0.6434087788762167,,734.0,
First-pass_regression_std_medical_original,,2.384709381655889,,328.0,
First-pass_regression_std_medical_simple,,0.2212591441319298,,912.0,
Maximum_duration_of_Visit_min_clinical_original,,1.3076781579811896,,580.5,
Maximum_duration_of_Visit_min_medical_original,,2.372076870559633,,330.0,
Maximum_duration_of_Visit_min_medical_simple,,0.0400377292488652,,1182.0,
Maximum_duration_of_fixations_max_clinical_original,,0.4924030819234009,,776.5,
Maximum_duration_of_fixations_max_clinical_simple,,2.512830062820212,,314.5,
Maximum_duration_of_fixations_max_medical_original,,2.2156376264963584,,351.5,
Maximum_duration_of_fixations_mean_clinical_original,,0.2289006050032966,,906.0,
Maximum_duration_of_fixations_mean_clinical_simple,,3.7417335110793473,,216.0,
Maximum_duration_of_fixations_mean_medical_original,,0.1730193257954616,,967.0,
Maximum_duration_of_fixations_mean_medical_simple,,2.670457220891182,,300.0,
Maximum_duration_of_fixations_min_clinical_original,,0.0263765128170242,,1252.0,
Maximum_duration_of_fixations_min_clinical_simple,,0.5629283394726609,,753.0,
Maximum_duration_of_fixations_min_medical,,0.5984360509419234,,748.0,
Maximum_duration_of_fixations_min_medical_original,,0.6239058584918868,,737.0,
Maximum_duration_of_fixations_min_medical_simple,,0.55586736566901,,754.0,
Maximum_duration_of_fixations_std_clinical_original,,0.722849549432238,,709.0,
Maximum_duration_of_fixations_std_medical_original,,1.3914325220504735,,551.0,
Maximum_duration_of_whole_fixations_max_clinical_original,,0.4924030819234009,,776.5,
Maximum_duration_of_whole_fixations_max_clinical_simple,,2.512830062820212,,314.5,
Maximum_duration_of_whole_fixations_max_medical_original,,2.2156376264963584,,351.5,
Maximum_duration_of_whole_fixations_mean_clinical_original,,0.2397966823009114,,895.0,
Maximum_duration_of_whole_fixations_mean_clinical_simple,,3.7127226678991376,,219.0,
Maximum_duration_of_whole_fixations_mean_medical_original,,0.1922354625891433,,943.0,
Maximum_duration_of_whole_fixations_mean_medical_simple,,2.674830346682088,,299.0,
Maximum_duration_of_whole_fixations_min_clinical_original,,0.2306211096216047,,902.0,
Maximum_duration_of_whole_fixations_min_clinical_simple,,0.3149127363341664,,852.0,
Maximum_duration_of_whole_fixations_min_content,,0.0502240968325546,,1144.5,
Maximum_duration_of_whole_fixations_min_medical,,0.1827910417942027,,953.0,
Maximum_duration_of_whole_fixations_min_medical_original,,0.4532811573185569,,789.0,
Maximum_duration_of_whole_fixations_min_medical_simple,,0.7741165172206631,,696.5,
Maximum_duration_of_whole_fixations_std_clinical_original,,0.8503184166166308,,679.0,
Maximum_duration_of_whole_fixations_std_medical_original,,1.5227904620659474,,511.0,
Minimum_duration_of_Visit_min_clinical_original,,0.033687673267130895,,1205.0,
Minimum_duration_of_Visit_min_clinical_simple,,1.9728682034036924,,396.0,
Minimum_duration_of_Visit_min_medical,,0.1643530853556106,,980.0,
Minimum_duration_of_Visit_min_medical_original,,1.167686241903236,,613.0,
Minimum_duration_of_Visit_min_medical_simple,,2.3069474907416687,,339.0,
Minimum_duration_of_Visit_min_non_medical,,0.0411304735874006,,1175.0,
Minimum_duration_of_fixations_max_clinical_original,,0.0399093033709399,,1183.0,
Minimum_duration_of_fixations_max_clinical_simple,,0.2584317277002206,,888.0,
Minimum_duration_of_fixations_max_medical_original,,2.46953302759352,,319.0,
Minimum_duration_of_fixations_max_medical_simple,,1.2107059117242365,,602.5,
Minimum_duration_of_fixations_mean_clinical_original,,0.2696577454144759,,880.0,
Minimum_duration_of_fixations_mean_medical_original,,0.0296410138536091,,1228.0,
Minimum_duration_of_fixations_mean_medical_simple,,2.009512715096692,,388.0,
Minimum_duration_of_fixations_min_clinical_original,,1.5027390409459511,,518.0,
Minimum_duration_of_fixations_min_clinical_simple,,0.05507627878762451,,1132.0,
Minimum_duration_of_fixations_min_medical_original,,0.0327790023713181,,1211.0,
Minimum_duration_of_fixations_min_medical_simple,,3.0303657441734964,,258.0,
Minimum_duration_of_fixations_min_non_medical,,0.1026254788147255,,1051.0,
Minimum_duration_of_fixations_std_clinical_original,,0.3805042367272601,,823.0,
Minimum_duration_of_fixations_std_clinical_simple,,1.5465445039695118,,504.0,
Minimum_duration_of_fixations_std_medical_original,,0.0180669498336918,,1294.0,
Minimum_duration_of_fixations_std_medical_simple,,2.2945984743695407,,342.0,
Minimum_duration_of_fixations_std_non_medical,,0.5399390484439198,,766.0,
Minimum_duration_of_whole_fixations_max_clinical_original,,0.0216445279610288,,1286.0,
Minimum_duration_of_whole_fixations_max_clinical_simple,,0.32683035187775,,845.0,
Minimum_duration_of_whole_fixations_max_medical_original,,2.727302545945571,,289.0,
Minimum_duration_of_whole_fixations_max_medical_simple,,1.2107059117242365,,602.5,
Minimum_duration_of_whole_fixations_mean_clinical_original,,0.3045590707464072,,864.0,
